claim_id,location,claim_type,value_paper,digits,units,comparison,needs_block,note
abstract_campaign_cost,"Abstract, p. 1",definitional,8.9,1,million_dollars,,FALSE,Also stated in the Introduction and twice in Methods. The deposit carries no spending field for the programme as a whole.
abstract_sample_millions,"Abstract, p. 1",pipeline,2,0,million,,TRUE,'conducted among 2 million ... persuadable voters'
abstract_n_states,"Abstract, p. 1",definitional,5,0,count,,FALSE,"'five battleground states', spelled out; named in Methods as Arizona, Wisconsin, Michigan, North Carolina and Pennsylvania"
abstract_programme_months,"Abstract, p. 1",definitional,8,0,count,,FALSE,'8-month-long advertising programme'; spelled as 'eight months' nowhere
abstract_biden_effect,"Abstract, p. 1",pipeline,0.4,1,percentage_points,,TRUE,Restated in the Introduction and in Results as '0.4 point increase'
abstract_biden_se,"Abstract, p. 1",pipeline,0.2,1,percentage_points,,TRUE,
abstract_trump_effect,"Abstract, p. 1",pipeline,0.3,1,percentage_points,,TRUE,Restated in the Introduction and in Results as '0.3 point decrease'
abstract_trump_se,"Abstract, p. 1",pipeline,0.3,1,percentage_points,,TRUE,
abstract_dic,"Abstract, p. 1",pipeline,0.7,1,percentage_points,,TRUE,Restated identically in the Introduction and in Results
abstract_dic_t,"Abstract, p. 1",pipeline,-2.09,2,unit,,TRUE,
abstract_dic_df,"Abstract, p. 1",pipeline,1035571,0,count,,TRUE,
abstract_dic_p,"Abstract, p. 1",pipeline,0.036,3,unit,,TRUE,
abstract_dic_ci_low,"Abstract, p. 1",pipeline,-0.014,3,unit,,TRUE,
abstract_dic_ci_high,"Abstract, p. 1",pipeline,0,0,unit,,TRUE,"Printed as a bare 0; the estimate is -0.000452, which renders as 0 at the printed precision"
intro_impressions_per_participant,"Introduction, p. 3",definitional,754,0,count,,FALSE,Facebook delivery data; no impressions field is deposited
intro_party_registration_missing,"Introduction, p. 3",pipeline,72,0,percent,,TRUE,'party registration was not available for a large proportion of the participant pool (72%)'
intro_tss_low_bucket_min,"Introduction, p. 3",definitional,30,0,unit,,TRUE,
intro_tss_low_bucket_max,"Introduction, p. 3",definitional,40,0,unit,,TRUE,
intro_tss_high_bucket_min,"Introduction, p. 3",definitional,60,0,unit,,TRUE,
intro_tss_high_bucket_max,"Introduction, p. 3",definitional,70,0,unit,,TRUE,
results_ate_pp,"Results, p. 3",pipeline,-0.06,2,percentage_points,,TRUE,
results_ate_se_pp,"Results, p. 3",pipeline,0.12,2,percentage_points,,TRUE,
results_ate_t,"Results, p. 3",pipeline,-0.52,2,unit,,TRUE,
results_ate_df,"Results, p. 3",pipeline,1999277,0,count,,TRUE,
results_ate_p,"Results, p. 3",pipeline,0.60,2,unit,,TRUE,
results_ate_estimate,"Results, p. 3",pipeline,-0.0006,4,unit,,TRUE,
