paper_id,claim_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,holds,defect_locus,notes
aggarwal_etal_2023,figure_1_cells_reproduced,figure_1,Cells of figure_1 reproduced at the precision the float prints,114,114,1,114,1,NA,NA,"114 published numbers. Rewrite gives 114, which matches."
aggarwal_etal_2023,figure_2_cells_reproduced,figure_2,Cells of figure_2 reproduced at the precision the float prints,36,36,1,36,1,NA,NA,"36 published numbers. Rewrite gives 36, which matches."
aggarwal_etal_2023,table_1_cells_reproduced,table_1,Cells of table_1 reproduced at the precision the float prints,95,95,1,95,1,NA,NA,"95 published numbers. Rewrite gives 95, which matches."
aggarwal_etal_2023,supplementary_table_1_cells_reproduced,supplementary_table_1,Cells of supplementary_table_1 reproduced at the precision the float prints,399,399,1,399,1,NA,NA,"399 published numbers. Rewrite gives 399, which matches."
aggarwal_etal_2023,supplementary_table_2_cells_reproduced,supplementary_table_2,Cells of supplementary_table_2 reproduced at the precision the float prints,126,126,1,126,1,NA,NA,"126 published numbers. Rewrite gives 126, which matches."
aggarwal_etal_2023,supplementary_table_3_cells_reproduced,supplementary_table_3,Cells of supplementary_table_3 reproduced at the precision the float prints,176,176,1,176,1,NA,NA,"176 published numbers. Rewrite gives 176, which matches."
aggarwal_etal_2023,figure_1_agrees_with_supplementary_table_1,figure_1,Every estimate and standard error printed on the face of Figure 1 equals the same cell of Supplementary Table 1,NA,NA,NA,NA,NA,TRUE,NA,114 of 114 cells agree between the two published transcriptions. The claim holds.
aggarwal_etal_2023,figure_2_agrees_with_supplementary_table_2,figure_2,Every estimate and standard error printed on the face of Figure 2 equals the same cell of Supplementary Table 2,NA,NA,NA,NA,NA,TRUE,NA,36 of 36 cells agree between the two published transcriptions. The claim holds.
aggarwal_etal_2023,abstract_campaign_cost,abstract,A US$8.9 million campaign-wide field experiment,NA,8.9,NA,NA,NA,NA,archive,The deposit carries no field for the programme's total cost. No rewrite counterpart.
aggarwal_etal_2023,abstract_sample_millions,abstract,Conducted among 2 million moderate- and low-information persuadable voters,NA,2,NA,1.999282,1,NA,NA,"Rewrite gives 2, which matches."
aggarwal_etal_2023,abstract_n_states,abstract,Five battleground states,NA,5,NA,NA,NA,NA,archive,The deposit carries no state field. No rewrite counterpart.
aggarwal_etal_2023,abstract_programme_months,abstract,An 8-month-long advertising programme,NA,8,NA,NA,NA,NA,archive,The deposit carries no delivery dates for the programme. No rewrite counterpart.
aggarwal_etal_2023,abstract_biden_effect,abstract,The campaign increased voting among Biden leaners by 0.4 percentage points,0.363080835893365,0.4,1,0.363080835893365,1,NA,NA,"Rewrite gives 0.4, which matches."
aggarwal_etal_2023,abstract_biden_se,abstract,Standard error of 0.2 percentage points,0.22512413063475997,0.2,1,0.22512413063475997,1,NA,NA,"Rewrite gives 0.2, which matches."
aggarwal_etal_2023,abstract_trump_effect,abstract,Decreased voting among Trump leaners by 0.3 percentage points,0.34852553358620403,0.3,1,0.34852553358620403,1,NA,NA,"Compared as a magnitude, since the sentence states a decrease. Rewrite gives 0.3, which matches."
aggarwal_etal_2023,abstract_trump_se,abstract,Standard error of 0.3 percentage points,0.253805501571923,0.3,1,0.253805501571923,1,NA,NA,"Rewrite gives 0.3, which matches."
aggarwal_etal_2023,abstract_dic,abstract,A difference in conditional average treatment effects of 0.7 points,0.710029031666833,0.7,1,0.710029031666833,1,NA,NA,"Compared as a magnitude, since the sentence states a difference. Rewrite gives 0.7, which matches."
aggarwal_etal_2023,abstract_dic_t,abstract,t statistic of the difference in CATEs,-2.09320482174741,-2.09,1,-2.09320482174741,1,NA,NA,"Rewrite gives -2.09, which matches."
aggarwal_etal_2023,abstract_dic_df,abstract,Degrees of freedom of the difference in CATEs,1035571,1035571,1,1035571,1,NA,NA,"Rewrite gives 1035571, which matches."
aggarwal_etal_2023,abstract_dic_p,abstract,p-value of the difference in CATEs,0.03633111716540424,0.036,1,0.03633111716540424,1,NA,NA,"Rewrite gives 0.036, which matches."
aggarwal_etal_2023,abstract_dic_ci_low,abstract,Lower bound of the 95 per cent interval,-0.01374862660040249,-0.014,1,-0.01374862660040249,1,NA,NA,"Rewrite gives -0.014, which matches."
aggarwal_etal_2023,abstract_dic_ci_high,abstract,Upper bound of the 95 per cent interval,-4.5195403293418583e-4,0,1,-4.5195403293418583e-4,1,NA,NA,"Printed as a bare 0. Rewrite gives 0, which matches."
aggarwal_etal_2023,intro_impressions_per_participant,introduction,An average of 754 advertisement impressions per treated participant,NA,754,NA,NA,NA,NA,archive,Nothing in the deposit records advertisement impressions. No rewrite counterpart.
aggarwal_etal_2023,intro_party_registration_missing,introduction,Party registration was not available for 72 per cent of the participant pool,NA,72,NA,72.12944447056493,1,NA,NA,"Rewrite gives 72, which matches."
aggarwal_etal_2023,intro_tss_low_bucket_min,introduction,Biden leaners have modelled Trump support scores between 30 and 40,NA,30,NA,30,1,NA,NA,"Rewrite gives 30, which matches."
aggarwal_etal_2023,intro_tss_low_bucket_max,introduction,Biden leaners have modelled Trump support scores between 30 and 40,NA,40,NA,40,1,NA,NA,"Rewrite gives 40, which matches."
aggarwal_etal_2023,intro_tss_high_bucket_min,introduction,Trump leaners have a Trump support score between 60 and 70,NA,60,NA,60,1,NA,NA,"Rewrite gives 60, which matches."
aggarwal_etal_2023,intro_tss_high_bucket_max,introduction,Trump leaners have a Trump support score between 60 and 70,NA,70,NA,70,1,NA,NA,"Rewrite gives 70, which matches."
aggarwal_etal_2023,results_ate_pp,results,The overall effect on turnout was -0.06 percentage points,-0.0637269236894564,-0.06,1,-0.0637269236894564,1,NA,NA,"Rewrite gives -0.06, which matches."
aggarwal_etal_2023,results_ate_se_pp,results,With a robust standard error of 0.12 points,0.121443351315408,0.12,1,0.121443351315408,1,NA,NA,"Rewrite gives 0.12, which matches."
aggarwal_etal_2023,results_ate_t,results,t statistic of the average treatment effect,-0.52474608942524,-0.52,1,-0.52474608942524,1,NA,NA,"Rewrite gives -0.52, which matches."
aggarwal_etal_2023,results_ate_df,results,Degrees of freedom of the average treatment effect,1999277,1999277,1,1999277,1,NA,NA,"Rewrite gives 1999277, which matches."
aggarwal_etal_2023,results_ate_p,results,p-value of the average treatment effect,0.5997597710163942,0.60,1,0.5997597710163942,1,NA,NA,"Rewrite gives 0.60, which matches."
aggarwal_etal_2023,results_ate_estimate,results,The average treatment effect on the proportion scale,-6.37269236894564e-4,-0.0006,1,-6.37269236894564e-4,1,NA,NA,"Rewrite gives -0.0006, which matches."
aggarwal_etal_2023,results_ate_ci_low,results,Lower bound of the 95 per cent interval,-0.00301751662529964,-0.0030,1,-0.00301751662529964,1,NA,NA,"Rewrite gives -0.0030, which matches."
aggarwal_etal_2023,results_ate_ci_high,results,Upper bound of the 95 per cent interval,0.00174297815151052,0.0017,1,0.00174297815151052,1,NA,NA,"Rewrite gives 0.0017, which matches."
aggarwal_etal_2023,results_equivalence_bound,results,An equivalence range of plus or minus one-third of a percentage point,NA,0.333,NA,0.333333333333333,1,NA,NA,"Rewrite gives 0.333, which matches."
aggarwal_etal_2023,results_tost_p,results,Two one-sided tests p-value,0.01320878,0.013,1,0.01320877742892415,1,NA,NA,"Rewrite gives 0.013, which matches."
aggarwal_etal_2023,results_early_dic_pp,results,Differential effects were 1.0 percentage points favouring Biden in the early voting data,1.0201149200033839,1.0,1,1.0201149200033839,1,NA,NA,"Rewrite gives 1.0, which matches."
aggarwal_etal_2023,results_in_person_dic_pp,results,And 0.3 percentage points favouring Trump in the in-person voting data,0.310085888338398,0.3,1,0.310085888338398,1,NA,NA,"Rewrite gives 0.3, which matches."
